Generated by programs/data.js
"Date when accessed","Date when double checked","Authors","Code in repository uses assertions","Evaluator's notes about code","Code in repository uses pre- or post-conditions or similar","URL (typically GitHub) for code repository","Has a repo, and executable code has been commented out","Evaluator's notes about data","DOI","Set to an error string if needed","Paper breaches journal code policy (see section~\ref{supplementary-journal-policies-section})","Paper says source code is available in principle","Journal has a code policy (see section~\ref{supplementary-journal-policies-section})","Paper uses a code repository (e.g., GitHub)","Evidence that source code has been run with a clean build and tested","Paper uses a data repository (e.g., Dryad, Figshare, GitHub)","Evidence that source code was developed rigorously","Paper or URL provides source code","Code repository contains no code","Helpful comments explaining code intent, rather than rephrasing the code","No code available at all (note: code is not expected for standard models, systems or statistical methods)","Code only has trivial or obvious comments","Team or open source development","Other evidence of good practice; see details in summary table","Use of RAP/RAP* principles","Code has substantial, useful comments, and documentation","Evidence of any tool-based development","Code only has comments unrelated to code intent (e.g., copyright)","Journal","Issue number or identifier","Number of pages","Internal Latex citation identifier (needs to be unique, which is checked)","Title of paper","Volume","Year published"
"JSON field: accessed","JSON field: doubleChecked","JSON field: authors","JSON field: codeAssertions","JSON field: codeComment","JSON field: codeConditions","JSON field: codeURL","JSON field: codeCommentedOut","JSON field: dataComment","JSON field: doi","JSON field: error","JSON field: hasBreach","JSON field: hasCodeInPrinciple","JSON field: hasCodePolicy","JSON field: hasCodeRepo","JSON field: hasCodeTested","JSON field: hasDataRepo","JSON field: hasDevelopedRigorously","JSON field: hasDirectCode","JSON field: hasEmptyRepo","JSON field: hasGoodComment","JSON field: hasNoCode","JSON field: hasNoComment","JSON field: hasOpenSourceDevelopment","JSON field: hasOtherTechniques","JSON field: hasRAP","JSON field: hasSubstantialcomment","JSON field: hasToolBasedDevelopment","JSON field: hasTrivialComment","JSON field: journal","JSON field: number","JSON field: pages","JSON field: reference","JSON field: title","JSON field: volume","JSON field: year"
"14 July 2020","17 January 2021","Callahan A, Steinberg E, Fries JA, Gombar S, Patel B, Corbin CK, Shah NH","","``Code is available upon request from the corresponding author'' (requested)","","","","On request.","10.1038/s41746-020-0300-0","","","1","1","","","","","","","","","","","","","","","","Nature Digital Medicine","95","3","ref-1","Estimating the efficacy of symptom-based screening for COVID-19","3","2020"
"14 July 2020","17 January 2021","Kanzler CM, Rinderknecht MD, Schwarz A, Lamers I, Gagnon C, Held JPO, Feys P, Luft AR, Gassert R, Lambercy O","1","Matlab. Documented overview, but only trivial comments. Assertions in code only relate to UI.","","github.com/ChristophKanzler/MetricSelectionFramework","1","``The datasets used in the current study are available from the corresponding author upon reasonable request and under consideration of the ethical regulations.''","10.1038/s41746-020-0286-7","","","","1","1","","1","","1","","","","","","","","","","1","Nature Digital Medicine","80","17","ref-2","A data-driven framework for selecting and validating digital health metrics: use-case in neurological sensorimotor impairments","3","2020"
"14 July 2020","17 January 2021","Roy A, Nikolitch K, McGinn R, Jinah S, Klement W, Kaminsky ZA","","``Due to the sensitive and potentially stigmatizing nature of this tool, code used for algorithm generation or implementation on individual Twitter profiles will not be made publicly available.''","","","","``In accordance with Twitter policies of data sharing, data used in the generation of the algorithm for this study will not be made publicly available.''","10.1038/s41746-020-0287-6","","1","","1","","","","","","","","1","","","","","","","","Nature Digital Medicine","78","12","ref-3","A machine learning approach predicts future risk to suicidal ideation from social media data","3","2020"
"14 July 2020","17 January 2021","Levine DM, Co Z, Newmark LP, Groisser AR, Holmgren AJ, Haas JA, Bates DW","","``This code would be made available upon reasonable request.'' (requested)","","","","``The datasets generated during and/or analyzed during the current study are available from the corresponding author on reasonable request.''","10.1038/s41746-020-0268-9","","","1","1","","","","","","","","","","","","","","","","Nature Digital Medicine","74","7","ref-4","Design and testing of a mobile health application rating tool.","3","2020"
"14 July 2020","17 January 2021","Kannampallil T, Smyth JM, Jones S, Payne PRO, Ma J","","Nothing available (despite building two voice-based virtual counselors).","","","","Nothing available","10.1038/s41746-020-0278-7","","1","","1","","","","","","","","1","","","","","","","","Nature Digital Medicine","72","4","ref-5","Cognitive plausibility in voice-based AI health counselors","3","2020"
"14 July 2020","17 January 2021","Huang S, Kothari T, Banerjee I,  Chute C, Ball RL, Borus N, Huang A, Patel BN, Rajpurkar P, Irvin J, Dunnmon J,  Bledsoe J, Shpanskaya K, Dhaliwal A, Zamanian R, Ng AY, Lungren MP","","Poor commenting, no documentation.","","github.com/marshuang80/PENet","1","``The datasets generated and analyzed during the study are not currently publicly available due to HIPAA compliance agreement but are available from the corresponding author on reasonable request.''","10.1038/s41746-020-0266-y","","","","1","1","","","","1","","","","","","","","","","1","Nature Digital Medicine","61","9","ref-6","PENet a scalable deep-learning model for automated diagnosis of pulmonary embolism using volumetric CT imaging","3","2020"
"14 July 2020","17 January 2021","Dhruva SS, Ross JS, Akar JG,  Caldwell B, Childers K, Chow W, Ciaccio L, Coplan P, Dong J, Dykhoff HJ, Johnston S, Kellogg T, Long C, Noseworthy PA, Roberts K, Saha A, Yoo A, Shah ND","","No code available.","","","","``The dataset generated and analyzed for this study will not be made publicly available due to patient privacy and lack of informed consent to allow sharing of patient data outside of the research team.''","10.1038/s41746-020-0265-z","","1","","1","","","","","","","","1","","","","","","","","Nature Digital Medicine","60","9","ref-7","Aggregating multiple real-world data sources using a patient-centered health-data-sharing platform","3","2020"
"14 July 2020","17 January 2021","Hofer IS, Lee C, Gabel E, Baldi P, Cannesson M","","Empty GitHub repository: ``Code coming soon \ldots'' paper says.","","github.com/cklee219/PostoperativeOutcomes_RiskNet","","``The datasets generated during and/or analyzed during the current study are not publicly available due to institutional restrictions on data sharing and privacy concerns. However, the data are available from the corresponding author on reasonable request.''","10.1038/s41746-020-0248-0","","1","","1","1","","","","","1","","1","","","","","","","","Nature Digital Medicine","58","10","ref-8","Development and validation of a deep neural network model to predict postoperative mortality, acute kidney injury, and reintubation using a single feature set","3","2020"
"14 July 2020","17 January 2021","Norgeot B, Muenzen K, Peterson TA, Fan X, Glicksberg BS, Schenk G, Rutenberg E, Oskotsky B, Sirota M, Yazdany J, Schmajuk G, Ludwig D, Goldstein T, Butte AJ","","Basic documentation, very little comment.","","github.com/BCHSI/philter-ucsf","1","``The i2b2 data that support the findings of this study are available from i2b2 but restrictions apply to the availability of these data, which require signed safe usage and research-only. Data from UCSF are not available at this time as they have not been legally certified as being De-Identified, however, this process is underway and the data may be available by the time of publication by contacting the authors. Requesters identity as researchers will need to be confirmed, safe usage guarantees will need to be signed, and other restrictions may apply.''","10.1038/s41746-020-0258-y","","","","1","1","","","","1","","","","","","","","","","1","Nature Digital Medicine","57","8","ref-9","Protected Health Information filter (Philter): accurately and securely de-identifying free-text clinical notes","3","2020"
